delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
none,identical,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,identical,equalized,0.0,9000,1,12,6,0,3,0.0010842006748468496,1370.2022641756732
none,identical,equalized,0.0,9000,2,12,6,0,0,0.0013278692160779112,1370.2022641757426
none,identical,equalized,0.0,9000,3,12,7,0,1,0.0015332912987025065,1370.2022641756466
none,identical,equalized,0.0,9000,4,12,8,0,1,0.0017142717866038362,1370.202264175674
none,identical,equalized,0.0,9000,5,12,8,0,0,0.0018778906544351301,1370.2022641757292
none,identical,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,identical,exponential,0.3,9000,1,12,6,0,3,0.000954100177909882,1370.2022641757212
none,identical,exponential,0.3,9000,2,12,6,0,0,0.001042752467140478,1370.202264175724
none,identical,exponential,0.3,9000,3,12,6,0,0,0.0010883411202263853,1370.2022641757367
none,identical,exponential,0.3,9000,4,12,6,0,0,0.0011125670620138277,1370.2022641756937
none,identical,exponential,0.3,9000,5,12,6,0,0,0.0011256409709324787,1370.2022641757628
none,identical,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,identical,exponential,0.6,9000,1,12,6,0,3,0.0008745119266819589,1370.2022641757553
none,identical,exponential,0.6,9000,2,12,6,0,0,0.00090448337928976,1370.2022641757108
none,identical,exponential,0.6,9000,3,12,6,0,0,0.0009133178963180789,1370.2022641756962
none,identical,exponential,0.6,9000,4,12,6,0,0,0.0009159621045405367,1370.2022641756757
none,identical,exponential,0.6,9000,5,12,6,0,0,0.0009167570302538363,1370.2022641756937
none,identical,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,identical,exponential,0.9,9000,1,12,5,0,2,0.0008275863930232764,1370.2022641756769
none,identical,exponential,0.9,9000,2,12,6,0,1,0.0008372327240622442,1370.2022641757073
none,identical,exponential,0.9,9000,3,12,6,0,0,0.000838816567908917,1370.2022641756735
none,identical,exponential,0.9,9000,4,12,6,0,0,0.0008390780875974596,1370.2022641757683
none,identical,exponential,0.9,9000,5,12,6,0,0,0.0008391213086614339,1370.202264175687
none,rotation,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,rotation,equalized,0.0,9000,1,24,6,12,3,0.00019954904237377502,7345.323402572467
none,rotation,equalized,0.0,9000,2,24,6,0,0,0.0003436870876697706,5127.895489727133
none,rotation,equalized,0.0,9000,3,24,10,0,4,0.00045858034597933805,4282.770395765831
none,rotation,equalized,0.0,9000,4,24,10,0,0,0.0005370908689480998,3869.877728395236
none,rotation,equalized,0.0,9000,5,24,11,0,1,0.0005992058874733728,3780.709994921348
none,rotation,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
none,rotation,exponential,0.3,9000,1,24,6,12,3,0.00016785900356616727,7691.989246588241
